id,class,subject,topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
238,10,English,Prose - The Last Lesson,medium,"'The Last Lesson' by Alphonse Daudet is set in the backdrop of which war?",World War I,World War II,Franco-Prussian War,American Civil War,C,"The story is set during the days of the Franco-Prussian War (1870-1871)."
239,10,English,Vocabulary,medium,"What is the antonym for 'expand'?",Stretch,Widen,Increase,Contract,D,"'Contract' means to decrease in size, number, or range, which is the opposite of 'expand'."
240,10,English,Grammar - Prepositions,easy,"Fill in the blank: 'She is good _____ mathematics.'",in,at,on,with,B,"The correct preposition to use with 'good' to indicate skill is 'at'."
241,10,Tamil,செய்யுள் - அன்னை மொழியே,easy,"'அன்னை மொழியே' என்ற கவிதையின் ஆசிரியர் யார்?",பாவலரேறு பெருஞ்சித்திரனார்,பாரதியார்,பாரதிதாசன்,வாணிதாசன்,A,"'அன்னை மொழியே' என்ற கவிதை, பெருஞ்சித்திரனாரின் 'கனிச்சாறு' தொகுப்பிலிருந்து எடுக்கப்பட்டது."
242,10,Tamil,இலக்கணம் - எழுத்து, சொல்,easy,"ஒரு எழுத்து தனித்தோ, பல எழுத்துகள் தொடர்ந்தோ பொருள் தருவது _____ எனப்படும்.",எழுத்து,சொல்,பொருள்,யாப்பு,B,"பொருள் தரும் வகையில் அமையும் எழுத்துகளின் தொகுதி சொல் எனப்படும்."
243,10,Tamil,உரைநடை - தமிழ்ச்சொல் வளம்,medium,"'மொழி ஞாயிறு' என்று அழைக்கப்படுபவர் யார்?",தெ.பொ.மீனாட்சிசுந்தரம்,தேவநேயப் பாவாணர்,மறைமலையடிகள்,திரு.வி.க.,B,"சொல்லாராய்ச்சியில் உச்சம் தொட்ட தேவநேயப் பாவாணர் 'மொழி ஞாயிறு' என்று போற்றப்படுகிறார்."
244,10,Tamil,செய்யுள் - இரட்டுற மொழிதல்,medium,"'இரட்டுற மொழிதல்' என்பதன் மற்றொரு பெயர் என்ன?",உவமை,சிலேடை,தற்குறிப்பேற்றம்,வேற்றுமை,B,"ஒரு சொல் அல்லது தொடர் இரு பொருள்பட வருவது இரட்டுற மொழிதல் அல்லது சிலேடை எனப்படும்."
245,10,Tamil,இலக்கணம் - பொது,medium,"இரு திணைகளுக்கும் பொதுவான பெயர்கள் எவை?",உயர்திணைப் பெயர்கள்,அஃறிணைப் பெயர்கள்,பொதுப் பெயர்கள்,சிறப்புப் பெயர்கள்,C,"நான், நாம், நீ, நீர் போன்றவை இரு திணைகளுக்கும் பொதுவாக வரும் பெயர்கள்."
246,10,Tamil,காப்பியங்கள் - கம்பராமாயணம்,hard,"'கம்பராமாயணத்திற்கு'க் கம்பர் இட்ட பெயர் என்ன?",இராமாவதாரம்,இராம காதை,சீதா காவியம்,கம்ப நாடகம்,A,"கம்பர் தாம் இயற்றிய நூலுக்கு 'இராமாவதாரம்' என்றே பெயரிட்டார்."
247,10,Tamil,உரைநடை - புதிய நம்பிக்கை,medium,"'புதிய நம்பிக்கை' என்னும் பாடம் யாருடைய வாழ்க்கை வரலாற்றைக் கூறுகிறது?",நெல்சன் மண்டேலா,மகாத்மா காந்தி,மேரி மெக்லியோட் பெத்யூன்,ஆபிரகாம் லிங்கன்,C,"அமெரிக்க கறுப்பினப் பெண்ணான மேரி மெக்லியோட் பெத்யூன், கல்வி மூலம் தன் சமூகத்தை முன்னேற்றிய வரலாற்றை இப்படம் கூறுகிறது."
248,10,Tamil,இலக்கணம் - பொருள்கோள்,hard,"'ஆற்றுநீர்ப் பொருள்கோள்' என்பது என்ன?",நேராகப் பொருள் கொள்ளுதல்,பின்னால் சென்று பொருள் கொள்ளுதல்,இங்கும் அங்கும் அலைந்து பொருள் கொள்ளுதல்,நடுவில் உள்ளதைப் பொருத்துதல்,A,"பாடலின் சொற்கள் ஆற்று நீர் போல நேராகவே பொருள் கொள்ளுமாறு அமைவது ஆற்றுநீர்ப் பொருள்கோள்."
249,10,Tamil,செய்யுள் - சிலப்பதிகாரம்,easy,"'சிலப்பதிகாரம்' காப்பியத்தின் தலைமை மாந்தர் யார்?",கோவலன் - மாதவி,கண்ணகி - மாதவி,கோவலன் - கண்ணகி,பாண்டியன் - கண்ணகி,C,"கோவலன் மற்றும் கண்ணகியின் கதையைக் கூறும் காப்பியம் சிலப்பதிகாரம்."
250,10,Tamil,திருக்குறள்,medium,"'அன்பிற்கும் உண்டோ அடைக்குந்தாழ்' - இக்குறளில் 'தாழ்' என்பதன் பொருள் என்ன?",தாழ்ப்பாள்,குறைவு,தாழ்வு,ஆழம்,A,"அன்பை அடைத்து வைக்கத் தாழ்ப்பாள் ஏதும் இல்லை என்பது இக்குறளின் பொருள்."
251,11,Mathematics,Sets, Relations and Functions,easy,"For any set A, A ∪ A' is equal to _____ (where U is the universal set).",A,A',U,∅,C,"The union of a set and its complement is always the universal set."
252,11,Mathematics,Trigonometry,medium,"What is the value of sin(90° - θ)?",sin θ,cos θ,-sin θ,-cos θ,B,"sin(90° - θ) = cos θ is a fundamental trigonometric identity."
253,11,Mathematics,Differential Calculus,medium,"What is the derivative of xⁿ with respect to x?",nxⁿ⁻¹,xⁿ⁺¹, (n+1)xⁿ,nxⁿ,A,"The power rule of differentiation states that d/dx(xⁿ) = nxⁿ⁻¹."
254,11,Mathematics,Matrices,easy,"A square matrix in which all the non-diagonal elements are zero is called a _____ matrix.",Scalar,Identity,Diagonal,Null,C,"In a diagonal matrix, only the elements on the main diagonal can be non-zero."
255,11,Mathematics,Combinatorics,hard,"What is the value of 5C2 (5 choose 2)?",10,15,20,25,A,"nCr = n! / (r!(n-r)!). So, 5C2 = 5! / (2!3!) = (5*4)/2 = 10."
256,11,Mathematics,Binomial Theorem,medium,"How many terms are there in the expansion of (a+b)⁸?",8,9,10,7,B,"The expansion of (a+b)ⁿ has (n+1) terms."
257,11,Mathematics,Sequences and Series,medium,"What is the sum of the first 'n' natural numbers?",n(n+1)/2,n(n-1)/2,n², (n+1)²,A,"The formula for the sum of the first n natural numbers is n(n+1)/2."
258,11,Mathematics,Analytical Geometry,medium,"What is the equation of a straight line parallel to the y-axis?",y = c,x = c,y = x,y = -x,B,"A line parallel to the y-axis has a constant x-value for all its points."
259,11,Mathematics,Probability,hard,"If P(A) = 0.6, P(B) = 0.5 and P(A∩B) = 0.3, what is P(A∪B)?",0.8,0.7,0.9,1.0,A,"P(A∪B) = P(A) + P(B) - P(A∩B) = 0.6 + 0.5 - 0.3 = 0.8."
260,11,Mathematics,Integral Calculus,hard,"What is the integral of cos(x) dx?",sin(x) + C,-sin(x) + C,cos(x) + C,-cos(x) + C,A,"The integral of cos(x) is sin(x) plus the constant of integration C."
261,11,Physics,Kinematics,medium,"The area under a velocity-time graph represents _____.",Acceleration,Displacement,Speed,Force,B,"Area = velocity × time = displacement."
262,11,Physics,Laws of Motion,medium,"Rocket propulsion is based on Newton's _____ law of motion.",First,Second,Third,Law of Gravitation,C,"Newton's third law (action-reaction) explains how a rocket moves forward by expelling gas backward."
263,11,Physics,Work, Energy and Power,easy,"The commercial unit of electrical energy is _____.",Joule,Watt,Kilowatt-hour (kWh),Horsepower,C,"1 kWh is the energy consumed by a 1000-watt appliance in one hour."
264,11,Physics,Gravitation,medium,"The value of acceleration due to gravity (g) is maximum at the _____.",Equator,Poles,Center of the Earth,Tropics,B,"The Earth is not a perfect sphere; it is flattened at the poles, so the poles are closer to the center."
265,11,Physics,Properties of Matter,easy,"The property of a liquid to oppose the relative motion between its layers is called _____.",Elasticity,Surface tension,Viscosity,Capillarity,C,"Viscosity is essentially the 'thickness' or internal friction of a fluid."
266,11,Physics,Thermodynamics,hard,"The first law of thermodynamics is a statement of the conservation of _____.",Mass,Momentum,Charge,Energy,D,"It states that energy cannot be created or destroyed, only transformed from one form to another."
267,11,Physics,Oscillations,medium,"The time period of a simple pendulum depends on its _____.",Mass,Amplitude,Length,Material of the bob,C,"The formula is T = 2π√(L/g), where L is the length and g is acceleration due to gravity."
268,11,Physics,Waves,easy,"Which of the following is an example of a transverse wave?",Sound wave,Light wave,Ultrasound wave,Shock wave,B,"In transverse waves, the oscillations are perpendicular to the direction of energy transfer. Light is an electromagnetic wave."
269,11,Physics,Units and Measurement,easy,"Which of the following is a fundamental quantity?",Velocity,Force,Time,Density,C,"Time is one of the seven fundamental physical quantities in the SI system."
270,11,Physics,System of Particles,hard,"The point where the entire mass of a body is assumed to be concentrated is called the _____.",Center of gravity,Center of mass,Fulcrum,Pivot,B,"The center of mass is the average position of all the parts of the system, weighted according to their masses."
271,11,Chemistry,Basic Concepts,easy,"One mole of any substance contains how many particles?",6.022 x 10²³,6.022 x 10⁻²³,3.011 x 10²³,12.044 x 10²³,A,"This number is known as Avogadro's number or Avogadro's constant."
272,11,Chemistry,Structure of Atom,medium,"The quantum number which specifies the shape of an orbital is the _____.",Principal,Azimuthal,Magnetic,Spin,B,"The Azimuthal quantum number (l) determines the shape of the orbital (s, p, d, f)."
273,11,Chemistry,Chemical Bonding,medium,"The bond angle in a water (H₂O) molecule is approximately _____.",180°,120°,109.5°,104.5°,D,"The presence of two lone pairs on the oxygen atom repels the bonding pairs, reducing the angle from the ideal tetrahedral angle of 109.5°."
274,11,Chemistry,States of Matter,easy,"Which law states that at constant temperature, the volume of a gas is inversely proportional to its pressure?",Charles's Law,Boyle's Law,Gay-Lussac's Law,Avogadro's Law,B,"Boyle's Law is expressed as P₁V₁ = P₂V₂."
275,11,Chemistry,Thermodynamics,medium,"A process that occurs with the absorption of heat is called _____.",Exothermic,Endothermic,Isothermal,Adiabatic,B,"In an endothermic process, the system absorbs energy from its surroundings in the form of heat."
276,11,Chemistry,Equilibrium,hard,"What is the pH of a neutral solution at 298 K?",0,7,14,1,B,"A pH of 7 indicates that the concentration of H⁺ ions is equal to the concentration of OH⁻ ions."
277,11,Chemistry,Redox Reactions,medium,"In a redox reaction, oxidation is the _____ of electrons.",Gain,Loss,Sharing,Transfer,B,"'LEO the lion says GER' - Loss of Electrons is Oxidation, Gain of Electrons is Reduction."
278,11,Chemistry,s-Block Elements,easy,"Which of the following is an alkali metal?",Magnesium,Calcium,Sodium,Aluminum,C,"Group 1 elements (Li, Na, K, etc.) are called alkali metals."
279,11,Chemistry,Organic Chemistry,medium,"The first organic compound to be synthesized in a laboratory was _____.",Methane,Acetic acid,Urea,Benzene,C,"Friedrich Wöhler synthesized urea from an inorganic compound (ammonium cyanate) in 1828."
280,11,Chemistry,Hydrocarbons,easy,"The simplest alkane is _____.",Methane,Ethene,Propane,Butane,A,"Methane (CH₄) is the simplest hydrocarbon, consisting of one carbon atom and four hydrogen atoms."
281,11,Biology,The Living World,easy,"The basic unit of classification is _____.",Kingdom,Phylum,Family,Species,D,"Species is the lowest and most fundamental level in the taxonomic hierarchy."
282,11,Biology,Plant Kingdom,medium,"Which group of plants is known as 'amphibians of the plant kingdom'?",Algae,Fungi,Bryophytes,Pteridophytes,C,"Bryophytes require water for reproduction and are found in damp, shady areas."
283,11,Biology,Animal Kingdom,easy,"Which is the largest phylum in the animal kingdom?",Mollusca,Chordata,Annelida,Arthropoda,D,"Arthropoda includes insects, spiders, and crustaceans, making up over 80% of all known animal species."
284,11,Biology,Cell Biology,medium,"Which cell organelle is known as the 'suicidal bag'?",Ribosome,Lysosome,Mitochondrion,Golgi apparatus,B,"Lysosomes contain digestive enzymes that can break down waste materials and cellular debris."
285,11,Biology,Biomolecules,medium,"Proteins are polymers of _____.",Glucose,Fatty acids,Amino acids,Nucleotides,C,"Amino acids are linked together by peptide bonds to form polypeptide chains, which make up proteins."
286,11,Biology,Plant Physiology,easy,"The loss of water in the form of vapor from the aerial parts of a plant is called _____.",Guttation,Transpiration,Respiration,Photosynthesis,B,"Transpiration mainly occurs through small pores called stomata on the leaves."
287,11,Biology,Human Physiology,medium,"Which part of the brain is responsible for maintaining posture and balance?",Cerebrum,Cerebellum,Medulla oblongata,Pons,B,"The cerebellum coordinates voluntary movements such as posture, balance, coordination, and speech."
288,11,Biology,Cell Cycle and Division,hard,"In which phase of the cell cycle does DNA replication occur?",G1 phase,S phase,G2 phase,M phase,B,"The S phase (Synthesis phase) is the part of the cell cycle in which DNA is replicated."
289,11,Biology,Morphology of Flowering Plants,easy,"The edible part of a carrot is a modified _____.",Stem,Root,Leaf,Flower,B,"The carrot is a taproot, which is a type of root modified for food storage."
290,11,Biology,Human Physiology,medium,"Which blood group is known as the 'universal donor'?",A,B,AB,O,D,"Group O negative blood can be given to people of all blood types because it has no A, B, or Rh antigens."
291,11,English,Prose - The Portrait of a Lady,easy,"'The Portrait of a Lady' is a story about the author's relationship with his _____.",Mother,Sister,Grandmother,Aunt,C,"The story, by Khushwant Singh, is a touching portrayal of his grandmother."
292,11,English,Poem - A Photograph,medium,"In the poem 'A Photograph', what does the cardboard show?",A picture of the poet,A picture of the poet's mother,A picture of the sea,A picture of a house,B,"The cardboard shows a photograph of the poet's mother with her two cousins on a beach holiday."
293,11,English,Grammar - Determiners,easy,"Choose the correct determiner: 'There isn't _____ sugar in the pot.'",much,many,a few,some,A,"'Much' is used with uncountable nouns (like sugar) in negative sentences."
294,11,English,Vocabulary,medium,"What is a 'soliloquy'?",A speech by one person to others,A conversation between two people,A speech where a character speaks their thoughts aloud,A song in a play,C,"A soliloquy is a dramatic device where a character speaks to themselves, revealing their innermost thoughts to the audience."
295,11,English,Grammar - Modals,medium,"Fill in the blank: 'It _____ rain tomorrow.'",can,must,might,should,C,"'Might' is used to express a possibility in the future."
296,11,English,Supplementary - The Summer of the Beautiful White Horse,medium,"What did Aram and Mourad do with the white horse?",They sold it,They kept it forever,They returned it to its owner,They gave it to a friend,C,"After enjoying riding it for some time, their conscience pricked them and they returned it to the farmer John Byro."
297,11,English,Writing Skills,easy,"A formal letter should end with _____.",Yours lovingly,Yours truly,Best wishes,Cheers,B,"'Yours truly' or 'Yours sincerely' are standard closings for formal letters."
298,11,English,Prose - We're Not Afraid to Die... if We Can All Be Together,medium,"The name of the boat in the story was _____.",Titanic,Voyager,Wavewalker,Sea Queen,C,"The narrator, his family, and two crewmen set out on a voyage in their professionally built boat, the Wavewalker."
299,11,English,Vocabulary,hard,"What is the meaning of the idiom 'to bell the cat'?",To feed a cat,To tie a bell to a cat's neck,To take on a dangerous or impossible task,To play with a cat,C,"The idiom originates from a fable about mice who discuss how to neutralize the threat of a cat."
300,11,English,Grammar - Tenses,hard,"Choose the correct tense: 'I _____ for two hours when you called.'",was sleeping,had been sleeping,am sleeping,have been sleeping,B,"Past perfect continuous is used to describe an action that was in progress before another past action."
301,12,Mathematics,Applications of Matrices,medium,"The system of linear equations is inconsistent if the rank of the coefficient matrix is _____ the rank of the augmented matrix.",Equal to,Not equal to,Greater than,Less than,B,"If ρ(A) ≠ ρ(A|B), the system is inconsistent and has no solution."
302,12,Mathematics,Complex Numbers,medium,"What is the modulus of the complex number 3 + 4i?",5,7,1,25,A,"Modulus |z| = √(a²+b²) = √(3²+4²) = √25 = 5."
303,12,Mathematics,Theory of Equations,hard,"A polynomial equation of degree 'n' has exactly _____ roots.",n-1,n,n+1,2n,B,"This is the fundamental theorem of algebra."
304,12,Mathematics,Inverse Trigonometric Functions,medium,"What is the principal value of sin⁻¹(-1/2)?",π/6,-π/6,π/3,-π/3,B,"The range of the principal value branch of sin⁻¹ is [-π/2, π/2]."
305,12,Mathematics,Differential Calculus,medium,"If y = log(x), what is dy/dx?",x,1/x,log(x),eˣ,B,"The derivative of the natural logarithm of x is 1/x."
306,12,Mathematics,Integral Calculus,medium,"What is the value of the definite integral ∫¹₂ x dx?",1,1.5,2,2.5,B,"∫x dx = x²/2. Applying limits [x²/2] from 1 to 2 = (2²/2) - (1²/2) = 2 - 0.5 = 1.5."
307,12,Mathematics,Differential Equations,easy,"The order of the differential equation (d²y/dx²) + y = 0 is _____.",0,1,2,3,C,"The order is the highest derivative present in the equation, which is the second derivative here."
308,12,Mathematics,Vector Algebra,easy,"The dot product of two perpendicular vectors is _____.",0,1,-1,Undefined,A,"If a · b = |a||b|cosθ, and θ=90°, then cos90°=0, so the dot product is 0."
309,12,Mathematics,Probability Distributions,hard,"In a binomial distribution, if n=4 and p=1/3, what is the value of P(X=1)?",8/81,16/81,32/81,4/81,C,"P(X=k) = nCk * pᵏ * qⁿ⁻ᵏ. P(X=1) = 4C1 * (1/3)¹ * (2/3)³ = 4 * (1/3) * (8/27) = 32/81."
310,12,Mathematics,Discrete Mathematics,easy,"A statement which is always true is called a _____.",Contradiction,Tautology,Contingency,Fallacy,B,"A tautology is a statement that is true in every possible interpretation."
311,12,Physics,Electrostatics,medium,"The SI unit of electric flux is _____.",Volt-meter,Newton/Coulomb,Volt/meter,Tesla,A,"Electric flux (Φ) is the product of electric field and area, so its unit is (V/m) * m² = Vm."
312,12,Physics,Current Electricity,medium,"Kirchhoff's first law (junction rule) is a statement of conservation of _____.",Energy,Charge,Momentum,Mass,B,"It states that the sum of currents entering a junction is equal to the sum of currents leaving it."
313,12,Physics,Magnetism,easy,"A magnetic field cannot exert a force on a _____.",Moving charge,Stationary charge,Current carrying wire,Magnetic dipole,B,"A magnetic force acts only on moving charges (F = qvBsinθ)."
314,12,Physics,Electromagnetic Induction,medium,"The phenomenon of electromagnetic induction is used in the working of a/an _____.",Electric motor,Electric generator,Voltmeter,Ammeter,B,"A generator converts mechanical energy into electrical energy by rotating a coil in a magnetic field."
315,12,Physics,Optics,medium,"The phenomenon of mirage is caused by _____.",Reflection,Dispersion,Interference,Total internal reflection,D,"Mirages are caused by the bending of light rays due to variations in air density."
316,12,Physics,Dual Nature of Radiation,hard,"The concept that light can behave as both a wave and a particle is called _____.",Photoelectric effect,Compton effect,Wave-particle duality,Diffraction,C,"This principle is a cornerstone of quantum mechanics."
317,12,Physics,Atoms and Nuclei,easy,"The process in which a heavy nucleus splits into two lighter nuclei is called _____.",Nuclear fusion,Nuclear fission,Radioactivity,Chain reaction,B,"Nuclear fission releases a large amount of energy and is used in nuclear power plants."
318,12,Physics,Semiconductor Electronics,medium,"In a p-type semiconductor, the majority charge carriers are _____.",Electrons,Holes,Protons,Neutrons,B,"A p-type semiconductor is created by doping an intrinsic semiconductor with acceptor impurities."
319,12,Physics,Electromagnetic Waves,easy,"Which of the following has the highest frequency?",Radio waves,Microwaves,X-rays,Gamma rays,D,"Gamma rays have the shortest wavelength and highest frequency in the electromagnetic spectrum."
320,12,Physics,Communication Systems,easy,"The process of superimposing a low-frequency signal onto a high-frequency carrier wave is called _____.",Detection,Modulation,Attenuation,Amplification,B,"Modulation is essential for long-distance transmission of signals."
321,12,Chemistry,Solid State,medium,"The number of atoms in a body-centered cubic (BCC) unit cell is _____.",1,2,4,6,B,"There is one atom at the center and 1/8th of an atom at each of the 8 corners (1 + 8×1/8 = 2)."
322,12,Chemistry,Solutions,medium,"The property which depends only on the number of solute particles and not on their nature is called a _____ property.",Intensive,Extensive,Colligative,Additive,C,"Examples of colligative properties include boiling point elevation and freezing point depression."
323,12,Chemistry,Electrochemistry,easy,"The standard electrode potential of a hydrogen electrode is _____.",1 V,0 V,-1 V,1.5 V,B,"The Standard Hydrogen Electrode (SHE) is used as the reference for all other electrode potentials."
324,12,Chemistry,Chemical Kinetics,medium,"The rate of a reaction _____ with an increase in temperature.",Increases,Decreases,Remains constant,May increase or decrease,A,"Higher temperature means higher kinetic energy of molecules, leading to more frequent and energetic collisions."
325,12,Chemistry,p-Block Elements,easy,"Which gas is used in balloons and airships due to its inertness and low density?",Hydrogen,Nitrogen,Oxygen,Helium,D,"Helium is the second lightest element and is non-flammable, unlike hydrogen."
326,12,Chemistry,d and f Block Elements,medium,"The elements which have partially filled d-orbitals are called _____ elements.",s-block,p-block,Transition,Inner transition,C,"Transition elements (like iron, copper, silver) have characteristic properties like variable oxidation states and forming colored ions."
327,12,Chemistry,Coordination Compounds,hard,"What is the coordination number of Co in [Co(en)₃]³⁺? (en = ethylenediamine)",2,3,4,6,D,"Ethylenediamine (en) is a bidentate ligand, meaning it binds at two points. So, 3 en ligands give a coordination number of 3 * 2 = 6."
328,12,Chemistry,Haloalkanes and Haloarenes,medium,"The reaction of an alkyl halide with an alcoholic solution of KCN gives _____.",Alkane,Nitrile,Isocyanide,Amine,B,"Reaction with KCN results in the formation of nitriles (R-CN)."
329,12,Chemistry,Alcohols, Phenols and Ethers,easy,"The common name for methanol is _____.",Grain alcohol,Wood spirit,Rubbing alcohol,Denatured alcohol,B,"Methanol was formerly produced chiefly by the destructive distillation of wood."
330,12,Chemistry,Biomolecules,easy,"Which of the following is a disaccharide?",Glucose,Fructose,Sucrose,Starch,C,"Sucrose (table sugar) is formed from glucose and fructose units."
331,12,Biology,Reproduction in Organisms,medium,"The process of development of an embryo from an unfertilized egg is called _____.",Parthenogenesis,Parthenocarpy,Apomixis,Polyembryony,A,"Parthenogenesis is a natural form of asexual reproduction observed in some insects, reptiles, and birds."
332,12,Biology,Genetics,easy,"An alternative form of a gene is called an _____.",Allele,Locus,Genotype,Phenotype,A,"For example, the gene for eye color can have alleles that result in blue or brown eyes."
333,12,Biology,Human Health and Disease,medium,"The disease AIDS is caused by which virus?",Influenza virus,Hepatitis virus,Human Immunodeficiency Virus (HIV),Rhinovirus,C,"HIV attacks the immune system, specifically the CD4 cells (T cells)."
334,12,Biology,Biotechnology,medium,"The DNA fragments are separated in gel electrophoresis based on their _____.",Charge,Size,Shape,Density,B,"Smaller DNA fragments move faster and further through the gel than larger fragments."
335,12,Biology,Ecology,easy,"The primary source of energy for all ecosystems on Earth is _____.",Wind,Water,Sunlight,Geothermal heat,C,"Plants use sunlight for photosynthesis, which forms the base of most food chains."
336,12,Biology,Molecular Basis of Inheritance,hard,"The process of copying genetic information from one strand of the DNA into RNA is termed as _____.",Translation,Replication,Transcription,Transformation,C,"Transcription is the first step of gene expression."
337,12,Biology,Evolution,medium,"The wings of a bat and the wings of an insect are examples of _____ structures.",Homologous,Analogous,Vestigial,Atavistic,B,"Analogous structures have different evolutionary origins but similar functions."
338,12,Biology,Human Reproduction,easy,"The site of fertilization in humans is the _____.",Uterus,Ovary,Vagina,Fallopian tube,D,"The fusion of sperm and ovum typically occurs in the ampulla of the fallopian tube."
339,12,Biology,Strategies for Enhancement in Food Production,medium,"The Green Revolution in India was primarily associated with an increase in the production of _____.",Milk,Pulses,Wheat and Rice,Oilseeds,C,"The Green Revolution, led by M.S. Swaminathan, involved developing high-yielding varieties of wheat and rice."
340,12,Biology,Biotechnology and its Applications,easy,"The first transgenic crop was _____.",Rice,Cotton,Tomato,Tobacco,D,"The first genetically modified crop, an antibiotic-resistant tobacco plant, was produced in 1982."
341,12,English,Prose - The Last Lesson,easy,"In 'The Last Lesson', what was Franz's great dread when he started for school?",Getting late,The lesson on participles,His teacher M. Hamel,The Prussian soldiers,B,"Franz had not learned the rules for participles and was afraid of being scolded by his teacher."
342,12,English,Poem - My Mother at Sixty-Six,medium,"What did the poet realize with pain when she looked at her mother?",Her mother was old,Her mother was happy,Her mother was angry,Her mother was leaving,A,"The poet felt the pain of her mother's aging and the fear of separation."
343,12,English,Prose - Lost Spring,medium,"'Lost Spring' by Anees Jung describes the pitiable condition of _____.",Rich children,Poor children,Old people,Educated youth,B,"The story highlights the plight of poor children forced into labor, losing their 'spring' or childhood."
344,12,English,Grammar - Synthesis of Sentences,hard,"Combine into a simple sentence: 'He is very weak. He cannot walk.'",He is so weak that he cannot walk.,He is very weak and cannot walk.,He is too weak to walk.,Though he is weak, he cannot walk.,C,"Using the adverb 'too' is the correct way to combine these into a simple sentence."
345,12,English,Vocabulary,easy,"What is the synonym for 'serene'?",Noisy,Agitated,Calm,Violent,C,"'Serene' means calm, peaceful, and untroubled."
346,12,English,Supplementary - The Tiger King,medium,"What was the Tiger King's mission in the story?",To save tigers,To kill one hundred tigers,To become a great king,To marry a princess,B,"A prophecy stated that his death would come from the hundredth tiger, so he set out to kill them all."
347,12,English,Writing Skills - Notice,easy,"A notice should always be put in a _____.",Circle,Box,Triangle,Paragraph,B,"Notices are always enclosed in a box to make them stand out."
348,12,English,Poem - An Elementary School Classroom in a Slum,hard,"What does the poet Stephen Spender want for the slum children?",Money and food,New clothes,Freedom and education,Toys and games,C,"The poet wants the children to be taken out of the slum to experience the real world and receive a proper education."
349,12,English,Vocabulary,medium,"What is the antonym for 'optimistic'?",Hopeful,Cheerful,Pessimistic,Positive,C,"An optimistic person expects good things to happen, while a pessimistic person expects bad things to happen."
350,12,English,Grammar - Narration,hard,"Change to indirect speech: She said, 'I will do it tomorrow.'",She said that she will do it the next day.,She said that she would do it tomorrow.,She said that she would do it the next day.,She said that I would do it the next day.,C,"In indirect speech, 'will' changes to 'would' and 'tomorrow' changes to 'the next day'."
